epoch,kWh
1773756000,0.0
1773757800,0.0
1773759600,0.0
1773761400,0.0
1773763200,0.0
1773765000,0.0
1773766800,0.0
1773768600,0.0
1773770400,0.0
1773772200,0.0
1773774000,0.0
1773775800,0.0
1773777600,0.0
1773779400,0.0
1773781200,0.0
1773783000,0.0
1773784800,0.0
1773786600,0.0
1773788400,0.0
1773790200,0.0
1773792000,0.0
1773793800,0.0
1773795600,0.0
1773797400,0.0
1773799200,0.0
1773801000,0.0
1773802800,0.0
1773804600,0.0
1773806400,0.0
1773808200,0.0
1773810000,0.0
1773811800,0.0
1773813600,0.0
1773815400,0.0
1773817200,0.0
1773819000,0.0
1773820800,0.0
1773822600,0.0
1773824400,0.0
1773826200,0.0
1773828000,0.0
1773829800,0.0
1773831600,0.0
1773833400,0.0
1773835200,0.0
1773837000,0.0
1773838800,0.0
1773840600,0.0
1773842400,0.0
1773844200,0.0
1773846000,0.0
1773847800,0.0
1773849600,0.0
1773851400,0.0
1773853200,0.0
1773855000,0.0
1773856800,0.0
1773858600,0.0
1773860400,0.0
1773862200,0.0
1773864000,0.0
1773865800,0.0
1773867600,0.0
1773869400,0.0
1773871200,0.0
1773873000,0.0
1773874800,0.0
1773876600,0.0
1773878400,0.0
1773880200,0.0
1773882000,0.0
1773883800,0.0
1773885600,0.0
1773887400,0.0
1773889200,0.0
1773891000,0.0
1773892800,0.0
1773894600,0.0
1773896400,0.0
1773898200,0.0
1773900000,0.0
1773901800,0.0
1773903600,0.0
1773905400,0.0
1773907200,0.0
1773909000,0.0
1773910800,0.0
1773912600,0.0
1773914400,0.0
1773916200,0.0
1773918000,0.0
1773919800,0.0
1773921600,0.0
1773923400,0.0
1773925200,0.0
1773927000,0.0
1773928800,0.0
1773930600,0.0
1773932400,0.0
1773934200,0.0
1773936000,0.0
1773937800,0.0
1773939600,0.0
1773941400,0.0
1773943200,0.0
1773945000,0.0
1773946800,0.0
1773948600,0.0
1773950400,0.0
1773952200,0.0
1773954000,0.0
1773955800,0.0
1773957600,0.0
1773959400,0.0
1773961200,0.0
1773963000,0.0
1773964800,0.0
1773966600,0.0
1773968400,0.0
1773970200,0.0
1773972000,0.0
1773973800,0.0
1773975600,0.0
1773977400,0.0
1773979200,0.0
1773981000,0.0
1773982800,0.0
1773984600,0.0
1773986400,0.0
1773988200,0.0
1773990000,0.0
1773991800,0.0
1773993600,0.0
1773995400,0.0
1773997200,0.0
1773999000,0.0
1774000800,0.0
1774002600,0.0
1774004400,0.0
1774006200,0.0
1774008000,0.0
1774009800,0.0
1774011600,0.0
1774013400,0.0
1774015200,0.0
1774017000,0.0
1774018800,0.0
1774020600,0.0
1774022400,0.0
1774024200,0.0
1774026000,0.0
1774027800,0.0
1774029600,0.0
1774031400,0.0
1774033200,0.0
1774035000,0.0
1774036800,0.0
1774038600,0.0
1774040400,0.0
1774042200,0.0
1774044000,0.0
1774045800,0.0
1774047600,0.0
1774049400,0.0
1774051200,0.0
1774053000,0.0
1774054800,0.0
1774056600,0.0
1774058400,0.0
1774060200,0.0
1774062000,0.0
1774063800,0.0
1774065600,0.0
1774067400,0.0
1774069200,0.0
1774071000,0.0
1774072800,0.0
1774074600,0.0
1774076400,0.0
1774078200,0.0
1774080000,0.0
1774081800,0.0
1774083600,0.0
1774085400,0.0
1774087200,0.0
1774089000,0.0
1774090800,0.0
1774092600,0.0
1774094400,0.0
1774096200,0.0
1774098000,0.0
1774099800,0.0
1774101600,0.0
1774103400,0.0
1774105200,0.0
1774107000,0.0
1774108800,0.0
1774110600,0.0
1774112400,0.0
1774114200,0.0
1774116000,0.0
1774117800,0.0
1774119600,0.0
1774121400,0.0
1774123200,0.0
1774125000,0.0
1774126800,0.0
1774128600,0.0
1774130400,0.0
1774132200,0.0
1774134000,0.0
1774135800,0.0
1774137600,0.0
1774139400,0.0
